HubID,CenterType,Latitude,Longitude,Status,HubName,hubzonename,cityname,statename,IsActive,pincode,AreaCode,country
5005,RSC,34.427094,74.6674083,Approved,Bandipore,North,Srinagar,JAMMU AND KASHMIR,TRUE,193502,,India
5491,RSC,30.55189,76.46948,Approved,Sirhind,North,Patiala,PUNJAB,TRUE,140407,,India
1532,RSC,21.76,68.94,Approved,Malerkotla,North,Malerkotla,PUNJAB,TRUE,148023,RSC/Malerkotla,India
669,RSC,31.818324,75.207064,Approved,Batala,North,Batala,PUNJAB,TRUE,143505,RSC/Batala,India
2333,RSC,32.052109,76.649287,Approved,Baijnath,North,Baijnath,HIMACHAL PRADESH,TRUE,176125,RSC/Baijnath,India
2085,RSC,31.813232,75.6637315,Approved,Dasuya,North,Mukerian,PUNJAB,TRUE,144205,RSC/Dasuya,India
3307,RSC,31.3083,76.4542,Approved,Barmana,North,Barman,HIMACHAL PRADESH,TRUE,174036,,India
3457,RSC,31.45455348,77.6537914,Approved,Rampur HP,North,RAMPUR HP,HIMACHAL PRADESH,TRUE,172001,,India
3105,RSC,31.222801,76.38179,Approved,Bilaspur HP,North,Bilaspur HP,HIMACHAL PRADESH,TRUE,174031,,India
1522,RSC,21.76,68.94,Approved,Kalka,North,Kalka,CHANDIGARH,TRUE,134101,RSC/Kalka,India
5006,RSC,31.1333,77.2333,Approved,Dali1,North,Mashobra,HIMACHAL PRADESH,TRUE,171007,,India
5263,RSC,31.954208,75.319192,Approved,Dhariwal,North,Gurdaspur,PUNJAB,TRUE,143519,,India
5589,RSC,31.956289,75.616844,Approved,Mukerian1,North,Mukerian,PUNJAB,TRUE,144211,,India
5743,RSC,31.632898,74.843208,Approved,Ram Tirath,North,AMRITSAR,PUNJAB,TRUE,143102,,India
877,RSC,17.91488,73.863035,Approved,Barnala,North,Barnala,PUNJAB,TRUE,148101,RSC/Barnala,India
3624,RSC,31.0262187,75.7878214,Approved,Phillaur,North,Phillaur,PUNJAB,TRUE,144410,,India
6733,RSC,31.663683,74.932104,Approved,Vallah,North,AMRITSAR,PUNJAB,TRUE,143501,,India
6214,RSC,31.822701,75.377296,Approved,Quadian,North,Batala,PUNJAB,TRUE,143516,,India
5738,RSC,30.03795,76.78535,Approved,Ladwa,North,LADWA,HARYANA,TRUE,136132,,India
3807,RSC,32.032185,75.030449,Approved,Dera Baba Nanak,North,Dera Baba Nanak,PUNJAB,TRUE,143604,,India
1124,RSC,21.27,72,Approved,Mehta,North,Mehta,PUNJAB,TRUE,143114,RSC/Mehta,India
6298,RSC,30.0379,76.7853,Approved,Kaul,North,Kaithal,HARYANA,TRUE,136021,,India
2646,RSC,34.06274,74.85261,Approved,SXR/NGM1,North,Srinagar,JAMMU AND KASHMIR,TRUE,190019,,India
3961,RSC,31.63398,74.872261,Approved,Kathunangal,North,Kathunangal,PUNJAB,TRUE,143502,,India
3096,RSC,31.28083,74.85722,Approved,Patti,North,Patti,PUNJAB,TRUE,143416,,India
595,RSC,28.6111038,77.0949806,Approved,Nakodar,North,Nakodar,PUNJAB,TRUE,144040,RSC/Nakodar,India
9538,SC,30.21406,75.31584,Approved,BNL/BNL/RP,North,Barnala,PUNJAB,TRUE,148101,Rahi Basti,India
9537,SC,30.21406,75.31584,Approved,BNL/BNL/HV,North,Barnala,PUNJAB,TRUE,148101,Rahi Basti,India
590,SC,30.18817154,74.49933674,Approved,MALOUT,North,MALOUT,PUNJAB,TRUE,152107,MLT,India
592,SC,31.454477,74.921973,Approved,Tarn Taran Sahib,North,Tarn Taran Sahib,PUNJAB,TRUE,143401,TRT,India
9199,RSC,32.08523,77.10252,Approved,PAT/HAR/LM,North,PATLIKUHAL,HIMACHAL PRADESH,TRUE,175136,Haripur Market,India
4378,RSC,33.67371,75.14056,Approved,Pampore,North,Pampore,JAMMU AND KASHMIR,TRUE,191101,,India
546,SC,30.23143492,75.83945218,Approved,Sangrur,North,Sangrur,PUNJAB,TRUE,148001,SGR,India
9750,RSC,22.4886276,92.9766123,Approved,HKD/SAA/LM1,North East,Hailakandi,ASSAM,TRUE,788151,Saiha,India
4430,RSC,25.0378,86.8822,Approved,Amarpur BH,East,Amarpur BH,BIHAR,TRUE,813101,,India
1137,RSC,25.27,78,Approved,Govindpur,East,GOVINDPUR,JHARKHAND,TRUE,828109,RSC/Govindpur,India
2100,RSC,20.4915,85.664,Approved,Athagarh,East,Athagarh,Odisha,TRUE,791074,RSC/Athagarh,India
9075,RSC,10.576878,79.757311,Approved,Vedharanyam/LM,South-2,Trichy,TAMIL NADU,TRUE,614712,Vedharanyam,India
9305,RSC,9.83932,77.154832,Approved,KPN/QLR/LM1,South-2,Kattapana,KERALA,TRUE,685553,Kallar,India
5252,RSC,10.686903,78.116232,Approved,Gujiliyamparai,South-2,Karur,TAMIL NADU,TRUE,624703,,India
2549,RSC,10.0791,76.2105,Approved,VYIPN,South-2,vypin,KERALA,TRUE,683511,,India
6137,RSC,9.404667,76.669333,Approved,VENNIKULAM,South-2,Pathanamthitta,KERALA,TRUE,689544,,India
5728,RSC,9.464139,76.557639,Approved,VAKATHANAM,South-2,Kottayam,KERALA,TRUE,686106,,India
6166,RSC,10.83129409,77.06299472,Approved,Vadasithur,South-2,Pollachi,TAMIL NADU,TRUE,638182,,India
6319,RSC,11.41376,79.18195,Approved,ULUNDURPETTAI1,South-2,ulundurpettai,TAMIL NADU,TRUE,606107,,India
2690,RSC,11.3806,77.8944,Approved,Tiruchengode1,South-2,Thiruparankundram,TAMIL NADU,TRUE,637211,,India
2356,RSC,9.908899,76.271693,Approved,THOPPUMPADI,South-2,THOPPUMPADI,KERALA,TRUE,673310,RSC/THOPPUMPADI,India
9748,Hub LH,30.3414,76.8366,Approved,AMBALA HUB,North,AMBALA,HARYANA,TRUE,134007,Ambala,India
9749,Hub LH,26.7761,80.8808,Approved,LUCKNOW TP NAGAR BRANCH,North,Lucknow,UTTAR PRADESH,TRUE,226012,TRANSPORT NAGAR,India
